time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/08/05/21:17:43.964388,141,1691284663,963356184,base_link,-1,1,0.0,0.0,18.553000000000004,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2023/08/05/21:17:44.463278,142,1691284664,462303832,base_link,-1,1,0.0,0.0,18.993000000000002,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2023/08/05/21:17:44.963625,143,1691284664,962564280,base_link,-1,1,0.0,0.0,18.793000000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2023/08/05/21:17:45.463107,144,1691284665,462195160,base_link,-1,1,0.0,0.0,18.783000000000005,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2023/08/05/21:17:45.963223,145,1691284665,962288792,base_link,-1,1,0.0,0.0,18.813000000000002,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2023/08/05/21:17:46.463316,146,1691284666,462252952,base_link,-1,1,0.0,0.0,18.553000000000004,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2023/08/05/21:17:46.963377,147,1691284666,962334488,base_link,-1,1,0.0,0.0,19.193000000000005,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2023/08/05/21:17:47.463002,148,1691284667,462142072,base_link,-1,1,0.0,0.0,19.323000000000004,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2023/08/05/21:17:47.963294,149,1691284667,962331672,base_link,-1,1,0.0,0.0,19.183000000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2023/08/05/21:17:48.463106,150,1691284668,462155640,base_link,-1,1,0.0,0.0,19.043000000000003,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2023/08/05/21:17:48.963279,151,1691284668,962283384,base_link,-1,1,0.0,0.0,19.373000000000005,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2023/08/05/21:17:49.463109,152,1691284669,461997496,base_link,-1,1,0.0,0.0,19.443000000000005,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2023/08/05/21:17:49.962951,153,1691284669,962048632,base_link,-1,1,0.0,0.0,18.783000000000005,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
